player,recent_form,role,predicted_points,credits
TU Deshpande,15.8,allrounder,21.39554567815553,7
GJ Maxwell,15.8,allrounder,21.39554567815553,7
AF Milne,15.8,allrounder,21.39554567815553,7
Anuj Rawat,21.2,batsman,21.386370887951877,7
JC Buttler,51.6,batsman,21.34556926406926,7
BCJ Cutting,10.8,allrounder,21.342298671321224,7
Z Khan,10.8,allrounder,21.342298671321224,7
WA Mota,10.8,allrounder,21.342298671321224,7
M Morkel,10.8,allrounder,21.342298671321224,7
Rashid Khan,10.8,allrounder,21.342298671321224,7
LS Livingstone,10.8,allrounder,21.342298671321224,7
Mujeeb Ur Rahman,10.8,allrounder,21.342298671321224,7
V Suryavanshi,39.8,batsman,21.280371682621375,7
HH Pandya,22.4,allrounder,21.25536774509247,7
N Saini,16.4,batsman,21.129305196605596,7
M Manhas,3.0,allrounder,21.117583143464707,7
MK Pandey,25.6,batsman,21.0015377146328,7
